                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.95378,                0.36953,                 1.2031,                0.99468,                 0.9946,                0.99416,                0.74807,                 1.0402,                0.33682,                 1.3501,               0.002872,               0.002872,               0.002872
                     75,                0.95241,                0.37018,                 1.1967,                0.99581,                 0.9946,                0.99438,                0.74669,                 1.0392,                0.33492,                 1.3478,               0.002773,               0.002773,               0.002773
                     76,                0.94779,                0.37236,                 1.1936,                 0.9944,                 0.9952,                0.99428,                0.74797,                  1.037,                0.33508,                  1.344,               0.002674,               0.002674,               0.002674
                     77,                0.95413,                0.36852,                 1.2087,                 0.9946,                0.99491,                0.99392,                0.74735,                 1.0408,                0.33518,                 1.3449,               0.002575,               0.002575,               0.002575
                     78,                0.94231,                0.36215,                 1.1979,                 0.9958,                0.99539,                 0.9943,                0.74669,                  1.043,                0.33535,                 1.3494,               0.002476,               0.002476,               0.002476
                     79,                0.93857,                0.36354,                 1.1925,                0.99618,                 0.9958,                0.99441,                0.74813,                 1.0414,                0.33478,                 1.3486,               0.002377,               0.002377,               0.002377
                     80,                0.93771,                0.36387,                 1.1925,                0.99581,                0.99692,                 0.9944,                0.75045,                 1.0414,                0.33384,                 1.3476,               0.002278,               0.002278,               0.002278
                     81,                0.93958,                  0.365,                 1.1915,                0.99521,                0.99689,                0.99437,                0.74855,                 1.0408,                0.33398,                 1.3478,               0.002179,               0.002179,               0.002179
                     82,                0.94175,                0.36169,                 1.1909,                0.99504,                 0.9958,                0.99442,                0.74792,                 1.0438,                0.33454,                 1.3481,                0.00208,                0.00208,                0.00208
                     83,                0.93623,                0.35952,                 1.1897,                0.99606,                 0.9958,                0.99429,                0.74753,                 1.0455,                 0.3353,                  1.351,               0.001981,               0.001981,               0.001981
                     84,                0.93839,                0.36166,                 1.1977,                0.99571,                 0.9964,                0.99439,                0.74711,                 1.0476,                0.33519,                 1.3506,               0.001882,               0.001882,               0.001882
                     85,                0.93184,                0.35955,                 1.1852,                0.99575,                 0.9958,                0.99447,                0.74606,                 1.0446,                0.33418,                 1.3492,               0.001783,               0.001783,               0.001783
                     86,                0.93793,                0.36083,                 1.1921,                 0.9958,                0.99517,                0.99448,                0.74769,                 1.0442,                 0.3337,                 1.3508,               0.001684,               0.001684,               0.001684
                     87,                0.92861,                0.35724,                 1.1899,                 0.9946,                0.99411,                 0.9945,                0.74746,                 1.0446,                 0.3352,                   1.35,               0.001585,               0.001585,               0.001585
                     88,                0.93011,                0.35653,                  1.185,                 0.9952,                0.99424,                0.99451,                0.75107,                 1.0399,                0.33485,                  1.346,               0.001486,               0.001486,               0.001486
                     89,                0.92927,                0.35633,                 1.1855,                0.99527,                 0.9958,                0.99452,                0.74965,                 1.0405,                0.33216,                 1.3468,               0.001387,               0.001387,               0.001387
                     90,                0.92449,                0.35547,                 1.1874,                 0.9952,                0.99528,                0.99449,                0.74965,                 1.0399,                 0.3312,                 1.3471,               0.001288,               0.001288,               0.001288
                     91,                0.90895,                0.32707,                 1.2483,                 0.9964,                0.99494,                0.99447,                 0.7538,                 1.0304,                0.33129,                 1.3441,               0.001189,               0.001189,               0.001189
                     92,                 0.9013,                0.32133,                 1.2409,                 0.9964,                0.99569,                0.99433,                0.75322,                 1.0284,                0.33217,                 1.3432,                0.00109,                0.00109,                0.00109
                     93,                0.89838,                0.32102,                 1.2465,                0.99608,                 0.9958,                 0.9943,                0.75357,                 1.0272,                0.33132,                 1.3432,               0.000991,               0.000991,               0.000991
                     94,                0.89366,                0.31881,                  1.238,                0.99431,                 0.9964,                0.99432,                0.75417,                  1.026,                0.33131,                 1.3427,               0.000892,               0.000892,               0.000892
                     95,                0.89032,                0.31769,                 1.2387,                0.99735,                 0.9952,                0.99436,                0.75437,                 1.0274,                0.33129,                 1.3436,               0.000793,               0.000793,               0.000793
                     96,                0.89298,                0.31703,                 1.2401,                 0.9962,                 0.9952,                0.99441,                0.75465,                 1.0261,                0.32997,                 1.3438,               0.000694,               0.000694,               0.000694
                     97,                0.88758,                0.31562,                 1.2358,                0.99558,                 0.9964,                0.99441,                0.75418,                 1.0261,                0.32941,                 1.3433,               0.000595,               0.000595,               0.000595
                     98,                0.88004,                0.31411,                 1.2279,                0.99581,                0.99684,                0.99444,                0.75603,                 1.0264,                0.32955,                 1.3435,               0.000496,               0.000496,               0.000496
                     99,                0.87577,                0.31224,                  1.227,                0.99558,                  0.997,                0.99445,                0.75553,                 1.0281,                0.32971,                 1.3454,               0.000397,               0.000397,               0.000397
                    100,                0.88081,                0.31139,                 1.2268,                 0.9958,                0.99662,                0.99445,                0.75555,                  1.028,                0.33045,                 1.3466,               0.000298,               0.000298,               0.000298
